state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
AL,01015-CHOCCOLOCCO COMM_ CTR,235,1294,1543,-0.6863,true
AL,01015-DEARMANVILLE UMC,157,770,931,-0.6584,true
AL,01015-EULATON UN_ METHODIST,137,610,751,-0.6298,true
AL,01015-FRIENDSHIP COMM CTR,363,1262,1637,-0.5492,true
AL,01015-GLENWOOD MEADOWS MTG_ RM,496,749,1258,-0.2011,true
AL,01015-GOD'S COVENANT MINISTRY,201,474,680,-0.4015,true
AL,01015-HARVEST CH OF GOD,427,802,1248,-0.3005,true
AL,01015-HOBSON CITY- CITY HALL,220,10,233,0.9013,true
AL,01015-HOPE COMM CH,129,416,545,-0.5266,true
AL,01015-JACKSONVILLE SAFETY COMP,542,1033,1603,-0.3063,true
AL,01015-JACKSONVILLE WESTSIDE BAPT,199,287,497,-0.1771,true
AL,01015-LEATHERWOOD RD CIVIL,334,934,1276,-0.4702,true
AL,01015-MENTAL HEALTH CTR,372,215,601,0.2612,true
AL,01015-MT_ VIEW BAPT,81,728,817,-0.7919,true
AL,01015-OAK GROVE BAPT,86,777,869,-0.7952,true
AL,01015-OHATCHEE 1ST BAPT,207,1558,1777,-0.7603,true
AL,01015-OXFORD CHEAHA CLUBHOUSE,198,579,787,-0.4841,true
AL,01015-OXFORD LAKE PK CIVIC CTR,290,571,870,-0.323,true
AL,01015-OXFORD PUBLIC LIBRARY,248,662,924,-0.4481,true
AL,01015-PIEDMONT FIRE STATION,317,1421,1753,-0.6298,true
AL,01015-PIEDMONT REC_ BLDG_,71,507,581,-0.7504,true
AL,01015-ROWE HALL,499,948,1475,-0.3044,true
AL,01015-SAKS HIGH SCHOOL,784,1592,2402,-0.3364,true
AL,01015-S_ HIGHLAND COMM CTR,476,131,617,0.5592,true
AL,01015-TREDEGAR CHAPEL CH,121,927,1055,-0.764,true
AL,01015-TRINITY MISSIONARY BAPT,49,350,400,-0.7525,true
AL,01015-W PARK HEIGHTS BAPT,124,1103,1238,-0.7908,true
AL,01015-WEAVER MEETING CTR,590,1900,2538,-0.5162,true
AL,01015-WHITE PLAINS 1ST BAPT,120,933,1064,-0.7641,true
AL,01015-WHITE PLAINS VFD,64,520,592,-0.7703,true
AL,01015-WIGGINS COMM CTR,454,20,477,0.9099,true
AL,01017-BUFFALO/LEBANON PRES_,98,223,323,-0.387,true
AL,01017-CUSSETA,73,306,383,-0.6084,true
AL,01017-FIVE POINTS,127,105,237,0.0928,true
AL,01017-FREDONIA,100,345,446,-0.5493,true
AL,01017-HUGULEY,415,1276,1701,-0.5062,true
AL,01017-LAFAYETTE,757,400,1163,0.307,true
AL,01017-LANETT,1390,869,2280,0.2285,true
AL,01017-LANIER,70,258,332,-0.5663,true
AL,01017-MT_ OLIVE,125,268,393,-0.3639,true
AL,01017-MT_ SPRINGS,6,59,65,-0.8154,true
AL,01017-RIDGE GROVE,135,224,360,-0.2472,true
AL,01017-STANDING ROCK,74,343,421,-0.639,true
AL,01017-UNION HILL,36,310,346,-0.7919,true
AL,01017-VALLEY SPORTSPLEX,1650,3243,4953,-0.3216,true
AL,01017-WAVERLY,50,97,149,-0.3154,true
AL,01017-WEST CHAMBERS,299,385,693,-0.1241,true
AL,01019-BEREA CHURCH OF CHRIST,21,214,237,-0.8143,true
AL,01019-BROOMTOWN FIRE DEPT_,20,320,341,-0.8798,true
AL,01019-CEDAR BLUFF 1ST BAPT_,169,1120,1301,-0.731,true
AL,01019-CONGREGATIONAL METHODIST,27,169,196,-0.7245,true
AL,01019-DANIELS CHAPEL FELLOWSHIP,28,186,216,-0.7315,true
AL,01019-GAYLESVILLE CITY HALL,29,420,450,-0.8689,true
AL,01019-GOSHEN METHODIST,40,384,427,-0.8056,true
AL,01019-LEESBURG FEMA BLDG_,146,1032,1188,-0.7458,true
AL,01019-MACEDONIA BAPT_ FELLOWSHIP,124,432,566,-0.5442,true
AL,01019-MT CALVARY BAPT_ CHURCH,67,132,200,-0.325,true
AL,01019-MT_ WEISNER FIRE HALL,43,239,282,-0.695,true
AL,01019-MT_ WEISNER VFD #2,49,221,272,-0.6324,true
AL,01019-McCORDS CROSSROADS,26,418,447,-0.877,true
AL,01019-NEW HOPE METHODIST,70,368,440,-0.6773,true
AL,01019-ROCK RUN CHURCH,9,165,175,-0.8914,true
AL,01019-SAND ROCK TOWN HALL,67,839,912,-0.8465,true
AL,01019-SHADY GROVE CHURCH,45,157,203,-0.5517,true
AL,01019-SPRING CREEK VFD,42,591,642,-0.8551,true
AL,01019-SPRING GARDEN FIRE STATION,65,572,641,-0.791,true
AL,01019-THE ROC,405,2662,3084,-0.7318,true
AL,01019-THE VALLEY CHURCH,15,213,230,-0.8609,true
AL,01019-TUCKERS CHAPEL FIRE DEPT_,26,194,221,-0.7602,true
AL,01019-UNITY MISSIONARY BAPT_,20,310,335,-0.8657,true
AL,01021-CANE CREEK GAP OF MTN,40,727,774,-0.8876,true
AL,01021-CLANTON REC_,292,1850,2169,-0.7183,true
AL,01021-COLLINS CHAPEL FS,33,377,416,-0.8269,true
AL,01021-COURTHOUSE CLANTON,181,1036,1222,-0.6997,true
