state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
OR,41005-132,2812,1380,4357,0.3287,true
OR,41005-133,1278,494,1854,0.4229,true
OR,41005-134,8,0,9,0.8889,true
OR,41005-135,3431,1398,5033,0.4039,true
OR,41005-151,1755,587,2434,0.4799,true
OR,41005-152,3666,1351,5198,0.4454,true
OR,41005-153,276,135,431,0.3271,true
OR,41005-154,64,27,92,0.4022,true
OR,41005-155,1928,640,2657,0.4848,true
OR,41005-156,3226,1026,4400,0.5,true
OR,41005-157,57,32,94,0.266,true
OR,41005-158,3017,923,4067,0.5149,true
OR,41005-159,1861,667,2642,0.4519,true
OR,41005-160,1201,419,1671,0.468,true
OR,41005-161,389,125,531,0.4972,true
OR,41005-162,412,194,636,0.3428,true
OR,41005-201,2491,1396,4065,0.2694,true
OR,41005-202,2851,1672,4702,0.2507,true
OR,41005-203,1233,883,2173,0.1611,true
OR,41005-204,1401,975,2479,0.1718,true
OR,41005-251,1235,641,1967,0.302,true
OR,41005-279,69,32,103,0.3592,true
OR,41005-280,289,91,393,0.5038,true
OR,41005-281,790,290,1123,0.4452,true
OR,41005-282,278,104,401,0.4339,true
OR,41005-283,270,123,411,0.3577,true
OR,41005-284,212,63,285,0.5228,true
OR,41005-285,8,7,16,0.0625,true
OR,41005-286,120,45,172,0.436,true
OR,41005-320,65,24,95,0.4316,true
OR,41005-321,1417,1198,2727,0.0803,true
OR,41005-322,510,611,1161,-0.087,true
OR,41005-323,732,711,1496,0.014,true
OR,41005-324,27,23,51,0.0784,true
OR,41005-330,1020,2702,3845,-0.4375,true
OR,41005-331,552,1167,1783,-0.3449,true
OR,41005-332,251,313,583,-0.1063,true
OR,41005-350,799,2266,3170,-0.4628,true
OR,41005-357,55,87,146,-0.2192,true
OR,41005-358,119,257,385,-0.3584,true
OR,41005-359,1030,1902,3013,-0.2894,true
OR,41005-360,406,741,1177,-0.2846,true
OR,41005-361,2,9,12,-0.5833,true
OR,41005-362,226,540,792,-0.3965,true
OR,41005-363,732,1408,2186,-0.3092,true
OR,41005-364,92,171,276,-0.2862,true
OR,41005-371,92,149,253,-0.2253,true
OR,41005-372,12,32,46,-0.4348,true
OR,41005-373,1940,1785,3871,0.04,true
OR,41005-400,1628,2464,4243,-0.197,true
OR,41005-403,580,796,1420,-0.1521,true
OR,41005-404,1250,2483,3862,-0.3193,true
OR,41005-405,833,1367,2293,-0.2329,true
OR,41005-406,264,674,970,-0.4227,true
OR,41005-410,1930,1385,3455,0.1577,true
OR,41005-411,2294,1800,4237,0.1166,true
OR,41005-412,912,1109,2086,-0.0944,true
OR,41005-413,115,91,212,0.1132,true
OR,41005-414,369,353,751,0.0213,true
OR,41005-415,219,212,453,0.0155,true
OR,41005-416,1439,1056,2569,0.1491,true
OR,41005-417,560,625,1239,-0.0525,true
OR,41005-418,449,623,1116,-0.1559,true
OR,41005-419,1189,827,2083,0.1738,true
OR,41005-420,1088,528,1689,0.3316,true
OR,41005-421,1467,860,2423,0.2505,true
OR,41005-422,2602,1453,4283,0.2683,true
OR,41005-500,815,381,1258,0.345,true
OR,41005-501,2847,921,3920,0.4913,true
OR,41005-502,2862,1275,4306,0.3686,true
OR,41005-503,2248,1246,3642,0.2751,true
OR,41005-504,2814,1742,4754,0.2255,true
OR,41005-506,1513,1268,2898,0.0845,true
OR,41005-510,430,487,953,-0.0598,true
OR,41005-511,830,1344,2244,-0.2291,true
OR,41005-512,903,1091,2070,-0.0908,true
OR,41005-513,75,71,154,0.026,true
OR,41005-514,2152,3185,5535,-0.1866,true
OR,41005-515,481,945,1473,-0.315,true
OR,41005-516,848,1188,2122,-0.1602,true
OR,41005-517,572,1453,2078,-0.424,true
OR,41005-518,719,1483,2280,-0.3351,true
OR,41005-600,2758,1958,4927,0.1624,true
OR,41005-602,1972,1740,3888,0.0597,true
OR,41005-604,3242,3099,6559,0.0218,true
OR,41005-606,1168,1004,2287,0.0717,true
OR,41005-608,1437,1319,2841,0.0415,true
OR,41005-614,1274,945,2314,0.1422,true
OR,41005-616,2092,1470,3716,0.1674,true
OR,41005-618,347,196,572,0.264,true
OR,41005-620,150,106,264,0.1667,true
OR,41005-622,1632,634,2373,0.4206,true
OR,41005-626,3062,935,4180,0.5089,true
OR,41005-628,546,325,914,0.2418,true
OR,41005-630,3690,1439,5340,0.4215,true
OR,41007-Clatsop Plains South,627,639,1295,-0.0093,true
OR,41007-Lewis & Clark / Cha*,588,809,1452,-0.1522,true
OR,41007-Astoria East,1227,494,1807,0.4056,true
OR,41007-Seaside South,743,458,1256,0.2269,true
OR,41007-Astoria West,1944,661,2707,0.474,true
OR,41007-Warrenton West,991,1233,2331,-0.1038,true
OR,41007-Clatsop Plains North,341,419,786,-0.0992,true
OR,41007-Westport,109,234,350,-0.3571,true
OR,41007-Gearhart,803,492,1326,0.2345,true
OR,41007-Svensen,381,630,1034,-0.2408,true
OR,41007-Stanley Acres,83,113,205,-0.1463,true
OR,41007-Astoria South,661,258,960,0.4198,true
OR,41007-Jewell,150,214,377,-0.1698,true
OR,41007-Seaside East,527,375,924,0.1645,true
OR,41007-Knappa,461,629,1128,-0.1489,true
OR,41007-John Day / Walluski,343,352,726,-0.0124,true
OR,41007-Cannon Beach,696,267,1011,0.4243,true
OR,41007-Arch Cape,177,45,233,0.5665,true
OR,41007-Hamlet,139,127,277,0.0433,true
OR,41007-Elsie,116,133,260,-0.0654,true
OR,41007-Necanicum,151,185,341,-0.0997,true
OR,41007-Seaside West,364,224,607,0.2306,true
OR,41007-Seaside North,337,207,572,0.2273,true
OR,41007-Olney,137,298,446,-0.361,true
OR,41007-Warrenton East,437,417,879,0.0228,true
OR,41009-48 S DEER ISLAND,115,249,375,-0.3573,true
OR,41009-14 QUINCY,187,329,533,-0.2664,true
OR,41009-04 N CLATSKANIE-MARSHLAND,230,332,588,-0.1735,true
OR,41009-01 CITY OF CLATSKANIE,349,519,902,-0.1885,true
OR,41009-35 SE SCAPPOOSE,517,567,1128,-0.0443,true
OR,41009-34 SCAPPOOSE FOUR,672,613,1342,0.044,true
OR,41009-31 SCAPPOOSE ONE,332,355,724,-0.0318,true
OR,41009-36 CANYON,219,212,456,0.0154,true
OR,41009-19 S WARREN,422,530,995,-0.1085,true
OR,41009-12 McNULTY,431,579,1048,-0.1412,true
OR,41009-10 MILTON,370,445,841,-0.0892,true
OR,41009-39 SAUVIE ISLAND,29,28,58,0.0172,true
OR,41009-26 ST HELENS SIX,1088,1420,2611,-0.1272,true
OR,41009-21 ST HELENS ONE,1108,1164,2386,-0.0235,true
OR,41009-47 CHAPMAN,388,422,848,-0.0401,true
OR,41009-41 CITY OF VERNONIA,392,936,1385,-0.3928,true
OR,41009-53 CITY OF COLUMBIA CITY,625,690,1354,-0.048,true
OR,41009-49 N DEER ISLAND,206,361,586,-0.2645,true
OR,41009-08 GOBLE,277,416,726,-0.1915,true
OR,41009-50 PRESCOTT,13,24,40,-0.275,true
OR,41009-40 YANKTON,396,665,1093,-0.2461,true
OR,41009-18 E RAINIER,77,114,205,-0.1805,true
OR,41009-15 RAINIER,392,619,1045,-0.2172,true
OR,41009-06 DELENA,407,770,1214,-0.299,true
OR,41009-17 W RAINIER,159,270,438,-0.2534,true
OR,41009-44 RURAL VERNONIA,233,578,837,-0.4122,true
OR,41009-32 SCAPPOOSE TWO,1159,1087,2352,0.0306,true
OR,41009-20 N WARREN,275,374,678,-0.146,true
OR,41009-46 APIARY,198,460,678,-0.3864,true
OR,41009-24 ST HELENS FOUR,1133,1252,2478,-0.048,true
OR,41009-51 MIST,98,186,294,-0.2993,true
OR,41009-38 W SCAPPOOSE,222,269,510,-0.0922,true
OR,41009-05 S CLATSKANIE,176,392,586,-0.3686,true
OR,41011-6,986,981,2030,0.0025,true
OR,41011-13,371,854,1272,-0.3797,true
OR,41011-4,1069,1031,2172,0.0175,true
OR,41011-3,1227,1624,2977,-0.1334,true
OR,41011-16,1056,937,2065,0.0576,true
OR,41011-5,1515,1803,3459,-0.0833,true
OR,41011-12,716,1283,2068,-0.2742,true
OR,41011-7,1078,1178,2347,-0.0426,true
OR,41011-18,128,218,357,-0.2521,true
OR,41011-9,166,156,330,0.0303,true
OR,41011-1,469,998,1493,-0.3543,true
OR,41011-2,1027,1733,2828,-0.2496,true
OR,41011-8,1186,2058,3370,-0.2588,true
OR,41011-17,1023,1459,2559,-0.1704,true
OR,41011-15,128,347,487,-0.4497,true
OR,41011-10,739,1558,2356,-0.3476,true
OR,41011-11,513,1335,1908,-0.4308,true
OR,41011-14,334,1296,1657,-0.5806,true
OR,41013-130004,212,1022,1261,-0.6423,true
OR,41013-130012,26,128,161,-0.6335,true
OR,41013-130016,138,576,728,-0.6016,true
OR,41013-130013,160,647,835,-0.5832,true
OR,41013-130011,679,1718,2463,-0.4218,true
OR,41013-130015,292,972,1300,-0.5231,true
OR,41013-130007,46,264,314,-0.6943,true
OR,41013-130009,38,169,210,-0.6238,true
OR,41013-130002,110,321,446,-0.4731,true
OR,41013-130006,262,567,858,-0.3555,true
OR,41013-130010,136,252,401,-0.2893,true
OR,41013-130008,159,438,613,-0.4551,true
OR,41013-130001,148,376,541,-0.4214,true
OR,41013-130003,79,160,248,-0.3266,true
OR,41013-130005,555,1745,2358,-0.5047,true
OR,41013-130014,120,364,499,-0.489,true
OR,41013-130017,676,2293,3061,-0.5283,true
OR,41015-2,165,318,507,-0.3018,true
OR,41015-3,190,201,419,-0.0263,true
OR,41015-4,64,140,217,-0.3502,true
OR,41015-5,346,284,651,0.0952,true
OR,41015-1,45,53,101,-0.0792,true
OR,41015-8,193,289,498,-0.1928,true
OR,41015-9,310,486,824,-0.2136,true
OR,41015-20,133,226,370,-0.2514,true
OR,41015-12,88,132,226,-0.1947,true
OR,41015-27,109,207,330,-0.297,true
OR,41015-13,82,160,248,-0.3145,true
OR,41015-19,216,457,687,-0.3508,true
OR,41015-26,327,466,808,-0.172,true
OR,41015-6,298,190,500,0.216,true
OR,41015-7,164,87,265,0.2906,true
OR,41015-11,318,437,780,-0.1526,true
OR,41015-10,218,279,516,-0.1182,true
OR,41015-17,644,879,1570,-0.1497,true
